player_id,team,disposals_avg_last3,disposals_avg_last5,disposals_avg_last10,goals_avg_last3,goals_avg_last5,goals_avg_last10,fantasy_avg_last3,fantasy_avg_last5,fantasy_avg_last10,games_played_prior,home_away,win_rate_last5,ladder_rank_pre,rest_days
43613,Collingwood Magpies,16.0,15.2,14.1,0.0,0.0,0.1,53.666666666666664,56.8,59.3,13,A,0.4,3.0,6.0
44687,Richmond Tigers,22.0,20.6,19.6,1.0,0.8,1.3,83.66666666666667,85.0,84.6,112,H,0.2,2.0,6.0
45101,Western Bulldogs,15.0,14.0,12.2,0.0,0.0,0.0,67.33333333333333,63.6,54.3,20,A,0.6,1.0,6.0
44022,Fremantle Dockers,9.333333333333334,10.2,10.571428571428571,0.0,0.0,0.125,42.333333333333336,48.0,50.375,8,A,0.4,6.0,7.0
45610,West Coast Eagles,14.666666666666666,13.6,12.3,1.3333333333333333,1.6,1.5,56.666666666666664,58.8,56.3,150,H,0.2,6.0,9.0
44543,Port Adelaide Power,12.333333333333334,12.75,12.75,0.6666666666666666,0.5,0.5,46.333333333333336,49.0,49.0,4,A,0.4,2.0,7.0
45216,Port Adelaide Power,10.0,9.8,9.8,0.6666666666666666,1.0,1.0,45.333333333333336,48.6,48.6,5,A,0.4,2.0,7.0
45481,Hawthorn Hawks,14.666666666666666,14.4,14.9,1.0,1.25,1.5,65.33333333333333,64.0,66.8,205,H,0.6,1.0,7.0
43341,Carlton Blues,13.0,11.25,12.222222222222221,0.6666666666666666,0.8,0.5,61.0,55.6,55.6,66,A,0.6,1.0,14.0
43637,Collingwood Magpies,18.333333333333332,17.4,19.5,0.0,0.0,0.1,72.66666666666667,65.4,74.1,24,H,0.8,1.0,7.0
44608,Richmond Tigers,12.0,11.2,8.5,0.3333333333333333,0.2,0.1,66.66666666666667,57.6,45.2,12,A,0.4,6.0,15.0
43895,Fremantle Dockers,12.666666666666666,13.2,15.444444444444445,0.0,0.0,0.0,63.666666666666664,62.0,70.8,42,H,0.0,6.0,8.0
43431,Sydney Swans,15.0,15.0,15.0,0.5,0.5,0.5,57.0,57.0,57.0,2,H,0.2,4.0,8.0
45898,West Coast Eagles,16.0,16.6,15.2,1.0,1.0,1.0,61.0,59.4,60.4,207,H,0.2,4.0,8.0
43368,Melbourne Demons,9.333333333333334,10.2,8.9,0.0,0.0,0.0,53.0,60.6,57.0,65,H,0.2,6.0,8.0
43843,Fremantle Dockers,14.333333333333334,13.0,13.0,0.6666666666666666,0.4,0.75,54.0,49.0,56.5,8,H,0.0,7.0,7.0
43517,Fremantle Dockers,5.333333333333333,7.4,7.4,0.3333333333333333,1.0,1.1,27.666666666666668,42.4,39.4,12,H,0.0,7.0,7.0
43587,West Coast Eagles,12.0,12.2,12.166666666666666,0.3333333333333333,0.6,0.5,59.0,56.4,56.666666666666664,6,A,0.2,4.0,7.0
46053,West Coast Eagles,12.0,12.2,12.166666666666666,1.0,1.0,1.0,59.0,56.4,56.666666666666664,6,A,0.2,4.0,7.0
43375,Carlton Blues,13.0,14.0,13.0,0.3333333333333333,0.4,0.3,58.0,61.2,54.1,25,H,0.6,2.0,6.0
44003,Carlton Blues,9.0,7.8,7.7,0.0,0.2,0.2,36.333333333333336,36.2,36.0,10,H,0.6,2.0,6.0
45881,North Melbourne Kangaroos,24.0,24.5,23.88888888888889,1.0,1.0,1.0,86.0,90.2,87.8,305,H,0.0,2.0,6.0
45094,Fremantle Dockers,13.0,13.4,12.2,0.3333333333333333,0.6,0.8,53.0,55.4,49.2,87,A,0.2,8.0,7.0
45692,Essendon Bombers,13.333333333333334,14.8,15.4,2.5,2.75,3.0,69.66666666666667,77.6,82.2,269,A,0.4,1.0,7.0
45073,Geelong Cats,18.333333333333332,16.8,16.77777777777778,0.3333333333333333,0.2,0.1,65.33333333333333,58.4,59.8,58,A,0.6,1.0,6.0
43366,St Kilda Saints,10.666666666666666,11.0,14.1,0.0,0.2,0.1,41.666666666666664,42.2,50.3,29,A,1.0,1.0,7.0
43523,Hawthorn Hawks,8.666666666666666,10.6,9.7,0.0,0.0,0.0,35.0,43.0,41.7,115,H,0.4,2.0,6.0
45377,Richmond Tigers,22.333333333333332,23.2,25.7,,,1.5,83.0,85.0,99.7,264,H,0.4,7.0,6.0
